Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-10-24,30,1698.5560933824943,1409.6814250946045,5.0,5,0.35334169487348105,1.50668466091156,0.2869080901145935,2305,,,,,788539,
2021-10-25,45,1725.853122525246,1509.076882481575,,,0.4409140724308755,1.2081660032272339,0.25234365463256836,2816,,,,,1206038,
2021-10-26,57,1795.9597908129272,2057.2749141454697,,,0.3751968823963739,1.2275621891021729,0.2550294101238251,3466,,,,,2278303,
2021-10-27,35,1737.410468875006,1197.055320262909,,,0.4030809234969885,1.2150707244873047,0.2550294101238251,2079,,,,,1382808,
2021-10-28,33,1783.2503151324602,1625.1022740602493,,,0.5433749982880176,1.2533739805221558,0.2550294101238251,2985,,,,,1647310,193396
2021-10-29,121,2098.760908289573,6010.262752652168,5.0,5,0.489105045779974,1.2215688228607178,0.23711392283439636,9387,,,,,6909568,
2021-10-30,58,1917.132015285456,2768.906367301941,,,0.4939689300129687,1.1727782487869263,0.2762818932533264,4619,,,,,4131601,
2021-10-31,10,1677.3619878493257,419.9509654045105,,,0.5659823093811349,1.2817299365997314,0.26565563678741455,855,,,,,464380,
2021-11-01,26,1744.5125526293155,991.240905046463,,,0.4105291755718479,1.1765481233596802,0.2550294101238251,1765,,,,,1491431,
2021-11-02,54,1738.4866472099268,2177.3036226034164,6.0,6,0.4440946788263824,1.3950896263122559,0.2550294101238251,3637,,,,,1399265,
2021-11-03,71,1889.7343897924686,3249.471622943878,12.0,12,0.4707995230407935,1.38483726978302,0.2550294101238251,5211,,,,,3712562,
2021-11-04,57,1816.3348149333992,1891.5256795883179,,,0.4788227108256453,1.245834231376648,0.25773265957832336,3368,,,,,2236062,156749
2021-11-05,105,1988.0476241620192,4259.134442448616,1.0,1,0.4382174111222231,1.306088924407959,0.2626408338546753,7113,,,,,5216238,
2021-11-06,53,1822.3724543796302,2558.6583762681257,,,0.38556102904743644,1.167441487312317,0.2645779550075531,4092,,,,,2682278,
2021-11-07,58,1888.3341914469781,3652.179625820836,28.0,28,0.3759807917963414,1.3585127592086792,0.2550294101238251,5541,,,,,3691146,
2021-11-08,76,1908.6533564245303,3832.465376016202,7.0,7,0.5531438624768402,1.1890805959701538,0.31878677010536194,5936,,,,,4001922,
2021-11-09,50,1688.2915665184528,1657.0647639036179,,,0.39752564934899115,1.414764165878296,0.2550294101238251,2756,,,,,631545,
2021-11-10,21,1702.1883660848882,808.5086711645126,,,0.3611382864629751,1.2228144407272339,0.2550294101238251,1453,,,,,844093,
2021-11-11,111,2078.994506675857,5377.813077926636,21.0,21,0.4399067034941626,1.3954780101776123,0.24601750075817108,8607,,,,,6607246,
2021-11-12,89,1928.8843278728727,4355.408575177193,18.0,18,0.5096735960831372,1.419627070426941,0.2550294101238251,6772,,,,,4311350,
2021-11-13,67,1908.8616136949381,3310.1648622751236,8.0,8,0.4256735956200363,1.3239001035690308,0.2869080901145935,5243,,,,,4005107,
2021-11-14,52,1863.8760718951798,2696.9389209747314,19.0,19,0.4084752988209558,1.5259482860565186,0.2550294101238251,4238,,,,,3317063,
2021-11-15,32,1720.7916372387713,989.7669036388397,,,0.3777242000825065,1.3536262512207031,0.24633575975894928,1901,,,,,1128626,
2021-11-16,47,1805.1277665476528,1658.880470752716,1.0,1,0.4981042795257858,1.1977967023849487,0.2550294101238251,2763,,,,,2418525,
2021-11-17,49,1753.2606449517657,1968.7602095603943,3.0,3,0.42946998193612956,1.344435453414917,0.2550294101238251,3302,,,,,1625231,
2021-11-18,60,1772.9247698250474,2121.4703431129456,1.0,1,0.4094114275668383,1.3984558582305908,0.2550294101238251,3616,,,,,1617829,136501
